Field wcs_err tot
FK2801 4 12
N32034 14 303
U0C64C 1 4
FF1801 4 24
FK2502 5 21
U3883G 1 8
N46001 5 59
FK2204 1 9
N55039 4 116
N04043 8 238
S12082 29 253
N32006 12 350
S01010 12 298
N57044 13 120
FA1404 3 8
N55045 12 117
N38080 12 31
FF1603 4 24
S07072 66 324
S18068 13 150
N21060 24 417
N01062 59 410
N55047 12 136
N46035 12 272
N57049 12 140
N35044 20 433
N09122 2 353
N26040 42 533
FK3002 3 15
FE0303 4 12
N23062 12 347
N26009 15 353
N57043 8 108
S01075 28 368
N57035 10 125
N38047 20 345
N01005 17 297
S09113 8 364
S18058 12 108
FC2302 4 16
N23060 8 387
N18038 1 50
N32066 32 330
N49039 4 206
N18084 40 369
N66015 1 83
N18117 2 379
N09086 12 369
S15021 5 219
U00009 8 8
N15111 5 255
N52031 8 207
N46036 13 276
N55033 4 168
N21087 37 452
N12066 32 426
N21010 15 272
S04058 27 368
N23025 5 194
N09043 16 334
N55044 8 105
S21058 8 76
S15114 9 240
S07046 4 186
U028FA 4 4
N52061 13 94
N15045 75 570
N35084 5 29
N18032 4 22
S12110 14 339
FE3003 4 8
N46041 4 253
N38064 16 270
N21052 42 532
S21018 5 134
S04057 24 365
S26015 1 44
N43070 9 281
S09052 8 217
N04072 38 424
N63018 3 136
N46062 8 199
N26043 36 531
N12052 56 507
N40044 17 350
S15064 24 180
N23068 19 349
N01059 46 379
N43046 12 272
N09023 35 428
N15004 8 353
N18079 22 385
S09005 10 280
S07015 8 288
N01027 24 320
S09124 4 202
S26073 4 72
N07075 28 353
N07020 19 407
N04089 11 324
N26085 28 387
S21117 1 116
S07031 21 224
S07014 12 290
S15059 12 124
N38035 21 482
N15016 48 432
N23069 20 351
FD2104 4 4
S07059 20 289
N32038 33 562
S18110 20 249
N23028 6 37
N40041 16 324
S01123 17 351
N63019 3 119
S07089 16 278
Uflat2 1 1
S15082 35 202
U667AC 4 4
S01077 37 385
N32070 28 286
S07007 8 295
N18051 69 547
N15115 4 370
S23063 4 48
N40071 23 379
N18121 6 366
FK2902 4 13
test3 4 6
N26080 31 396
N01010 10 308
S04114 22 434
S15085 12 211
N26052 24 472
N35066 20 305
N18120 6 365
S01013 8 280
N04015 23 377
N29005 9 346
N21080 32 402
N38020 1 201
N49062 4 194
S23103 4 97
S07011 12 293
FH2701 4 16
N07003 16 337
N43067 7 293
N09050 32 453
N21062 20 423
FF1401 5 25
N46066 4 247
S09014 13 274
UP04K2 4 4
FF0701 4 21
N04025 27 411
N35010 4 258
S21120 4 157
FE0102 4 28
N57037 10 89
S09071 41 194
N23014 20 386
N01019 16 386
N12065 36 447
U00002 7 73
S29101 1 30
S18017 9 185
N60040 8 88
N23030 7 30
S12002 4 243
S21022 5 113
S15113 9 177
UEDNEO 4 4
N29062 21 329
S01127 36 346
N21063 12 408
S01052 25 305
N26077 32 381
N01119 32 386
N21079 30 401
N26060 19 359
N18086 37 443
N43072 8 238
N07061 64 396
FF0406 1 8
S07071 55 355
S04118 24 389
N07059 64 437
S04128 16 281
N04123 18 360
FJ0608 3 4
S23101 3 73
N32077 21 411
S18001 8 177
N23008 22 376
N29042 44 535
N40066 16 261
N35051 9 363
N46072 8 32
S12069 31 241
N21091 16 66
N43066 10 272
FB2001 4 16
S09070 46 267
N12055 52 413
S18066 13 130
S09063 26 282
URIK06 4 4
FD1203 4 14
N21084 35 319
N57040 12 117
S23072 8 93
N60018 8 126
N23113 4 254
S23076 15 92
N40056 16 253
N43031 10 404
N66042 4 78
N29082 27 466
N26045 37 529
N07045 24 499
S07068 52 304
S09079 41 280
S23061 4 49
N21042 62 588
S15015 9 224
N35046 12 409
N35014 10 327
FL1303 4 20
S09111 8 278
N15071 25 373
S04062 24 290
N40040 16 341
S09060 28 271
N04017 17 246
N38074 28 390
N26041 49 529
N04063 59 387
N40099 5 162
N26048 48 433
N21046 49 573
N18056 31 495
N26044 32 525
ULARRY 12 12
N07065 37 403
N01009 8 297
N38036 29 458
FF0203 4 8
S15110 17 319
N23051 29 428
N63046 4 94
N23021 7 431
N57032 8 132
N23067 24 355
S07079 40 308
S01125 21 376
N26042 36 556
N12044 23 469
S12114 28 362
FB1101 4 16
S12026 3 258
N40034 31 450
N21085 32 454
N43038 12 324
N04126 16 325
S01018 21 332
N15026 2 327
S09084 20 273
S04018 13 301
N18090 20 266
N15075 21 366
S12066 21 244
S09116 29 376
S29012 1 28
FI2304 1 16
N32082 22 313
S12083 25 237
N57025 9 170
N43044 8 291
N12114 12 410
N07057 63 442
N43076 8 43
U27666 11 11
FE0204 4 16
N12047 33 475
FA1801 8 33
N12123 4 389
S18113 4 198
N07114 12 445
S04074 45 329
N26074 24 341
N01029 8 348
N09067 28 433
S21005 5 120
FE2103 4 8
N21083 31 395
S21119 4 154
S09031 8 105
UJUPIT 1 8
S15002 4 185
N40070 20 367
S15077 20 152
U04A47 4 4
N09121 8 328
FK0501 1 13
N32035 18 194
N04120 32 387
N26029 4 8
N04013 13 335
N26053 20 453
S18108 23 278
N18021 24 406
FJ2103 1 24
S09115 12 351
